Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R²,Test_R²
Linear Regression,17093.817813682945,17351.54853963823,12620.839400530896,12806.170900156943,0.4081326713058273,0.37273156167000143
SVM,22623.62386369133,22403.696714188467,17660.72016719045,17570.184667814494,-0.036741704184084734,-0.04572219745603734
