model,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
LogisticRegression,0.7629723632261703,0.5673580786026201,0.8279432850087621,0.6733173544082399,0.8559348383302022,0.7569548872180452,0.5596369922212618,0.8253664754620778,0.667010043780582,0.8475414841574433
LinearSVM,0.759353261891333,0.5632586112629853,0.8206149434443205,0.6680067436130204,0.8516393047625298,0.7567669172932331,0.5599128540305011,0.8189929891650733,0.6651138716356108,0.8433750150161784
RandomForest,0.9998119947358526,0.9995222169135213,0.99984068822686,0.9996814272061166,0.9999998937850703,0.8112781954887218,0.7087952697708795,0.6112173358827279,0.6563997262149213,0.8830161967431163
XGBoost,0.9231998495957887,0.8806361698639121,0.8556635335351283,0.8679702650290886,0.9755281120488485,0.8152255639097744,0.6993197278911565,0.6551943913320586,0.6765383349786114,0.8871547999352286
