model_name,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,training_time_seconds,n_parameters,model_size_mb
LogisticRegression,0.7629723632261703,0.5673580786026201,0.8279432850087621,0.6733173544082399,0.8559348383302022,0.7569548872180452,0.5596369922212618,0.8253664754620778,0.667010043780582,0.8475414841574433,1.2072980403900146,114,0.00086212158203125
LinearSVM,0.759353261891333,0.5632586112629853,0.8206149434443205,0.6680067436130204,0.8516393047625298,0.7567669172932331,0.5599128540305011,0.8189929891650733,0.6651138716356108,0.8433750150161784,0.6598279476165771,114,0.00086212158203125
RandomForest,0.8993231810490694,0.7644876551106563,0.9520471562848495,0.8480204342273308,0.9763923616892818,0.8039473684210526,0.6352880658436214,0.787125557680051,0.7031027611727868,0.8821108932243095,1.466876745223999,20000,0.152587890625
CatBoost,0.8337093438616281,0.6579766985811513,0.90871435399076,0.7632811454569784,0.9321057599474821,0.7971804511278195,0.6129032258064516,0.8476736775015934,0.7114201658197379,0.8890027881241441,2.318028211593628,60000,0.457763671875
MLP_Best,0.8571630005640158,0.7385091337654685,0.7986299187509956,0.7673938002296211,0.9290078315772802,0.7996240601503759,0.6521476104053237,0.687061822817081,0.6691495965238982,0.8727119124723741,16.0804340839386,222721,1.6992263793945312
