model,test_accuracy,test_precision,test_recall,test_f1,test_auc,training_time_seconds,iterations,depth,learning_rate,l2_leaf_reg,cv_score
CatBoost_Baseline,0.7971804511278195,0.6129032258064516,0.8476736775015934,0.7114201658197379,0.8890027881241441,2.672485828399658,600,6,0.03,3,
CatBoost_Tuned,0.7919172932330827,0.6041478809738503,0.8540471637985978,0.7076841827303935,0.8875607252555044,1522.8717949390411,400,6,0.03,5,0.886546311358899
