Task,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R²,Test_R²,Train_Size,Test_Size,Features
Income Prediction,17332.751613751654,17272.105839123225,12794.649934920513,12754.782941885771,0.39147103832429786,0.37846221134203817,12152,3039,140
Rating Prediction,0.17773383306501844,0.1809389669879578,0.1413900667142619,0.14248583918615415,0.1331463020042183,0.09841164905506083,10480,2620,145
