Interval,2021_Interval_Pct,2021_Cumulative_Pct,2025_Interval_Pct,2025_Cumulative_Pct,Cumulative_Change
4.0-4.2,3.4357402523344502,96.72820585929148,1.6199509751678567,99.1367366513908,2.4085307920993273
4.2-4.4,3.4998930786228524,93.29246560695702,1.6838964083981671,97.51678567622297,4.224320069265943
4.4-4.6,9.20236652648086,89.79257252833418,5.882979857188532,95.8328892678248,6.0403167394906205
4.6-4.8,20.38634257609238,80.5902060018533,15.250985825428968,89.94990941063625,9.359703408782948
4.8-5.0,30.201724998217976,60.20386342576093,35.93733347543429,74.69892358520728,14.495060159446354
