column,missing_count,missing_pct,non_missing_count,completeness_pct
calendar_updated,10480,100.0,0,0.0
neighbourhood_group_cleansed,10480,100.0,0,0.0
host_neighbourhood,7690,73.37786259541986,2790,26.622137404580144
neighborhood_overview,5288,50.45801526717557,5192,49.54198473282443
neighbourhood,5288,50.45801526717557,5192,49.54198473282443
host_about,4970,47.4236641221374,5510,52.5763358778626
price,4606,43.95038167938931,5874,56.04961832061069
estimated_revenue_l365d,4606,43.95038167938931,5874,56.04961832061069
beds,4576,43.66412213740458,5904,56.33587786259542
bathrooms,4548,43.396946564885496,5932,56.603053435114504
host_response_rate,3797,36.23091603053435,6683,63.76908396946565
host_response_time,3797,36.23091603053435,6683,63.76908396946565
host_acceptance_rate,2430,23.18702290076336,8050,76.81297709923663
host_location,1232,11.755725190839694,9248,88.2442748091603
review_scores_cleanliness,1098,10.477099236641221,9382,89.52290076335878
last_review,1097,10.467557251908396,9383,89.5324427480916
review_scores_location,1097,10.467557251908396,9383,89.5324427480916
review_scores_rating,1097,10.467557251908396,9383,89.5324427480916
review_scores_checkin,1097,10.467557251908396,9383,89.5324427480916
review_scores_communication,1097,10.467557251908396,9383,89.5324427480916
first_review,1097,10.467557251908396,9383,89.5324427480916
review_scores_accuracy,1097,10.467557251908396,9383,89.5324427480916
reviews_per_month,1097,10.467557251908396,9383,89.5324427480916
review_scores_value,1097,10.467557251908396,9383,89.5324427480916
description,348,3.3206106870229006,10132,96.6793893129771
has_availability,343,3.2729007633587783,10137,96.72709923664122
bedrooms,306,2.9198473282442747,10174,97.08015267175573
license,119,1.1354961832061068,10361,98.8645038167939
host_is_superhost,115,1.0973282442748091,10365,98.9026717557252
bathrooms_text,12,0.11450381679389314,10468,99.8854961832061
maximum_maximum_nights,4,0.03816793893129771,10476,99.9618320610687
minimum_maximum_nights,4,0.03816793893129771,10476,99.9618320610687
maximum_minimum_nights,4,0.03816793893129771,10476,99.9618320610687
minimum_minimum_nights,4,0.03816793893129771,10476,99.9618320610687
host_verifications,3,0.028625954198473285,10477,99.97137404580153
host_total_listings_count,3,0.028625954198473285,10477,99.97137404580153
host_name,3,0.028625954198473285,10477,99.97137404580153
host_thumbnail_url,3,0.028625954198473285,10477,99.97137404580153
host_has_profile_pic,3,0.028625954198473285,10477,99.97137404580153
host_picture_url,3,0.028625954198473285,10477,99.97137404580153
host_listings_count,3,0.028625954198473285,10477,99.97137404580153
host_since,3,0.028625954198473285,10477,99.97137404580153
host_identity_verified,3,0.028625954198473285,10477,99.97137404580153
number_of_reviews_ly,0,0.0,10480,100.0
number_of_reviews_ltm,0,0.0,10480,100.0
number_of_reviews_l30d,0,0.0,10480,100.0
availability_eoy,0,0.0,10480,100.0
calculated_host_listings_count_shared_rooms,0,0.0,10480,100.0
calendar_last_scraped,0,0.0,10480,100.0
estimated_occupancy_l365d,0,0.0,10480,100.0
calculated_host_listings_count_private_rooms,0,0.0,10480,100.0
calculated_host_listings_count_entire_homes,0,0.0,10480,100.0
calculated_host_listings_count,0,0.0,10480,100.0
instant_bookable,0,0.0,10480,100.0
number_of_reviews,0,0.0,10480,100.0
id,0,0.0,10480,100.0
availability_365,0,0.0,10480,100.0
longitude,0,0.0,10480,100.0
scrape_id,0,0.0,10480,100.0
last_scraped,0,0.0,10480,100.0
source,0,0.0,10480,100.0
name,0,0.0,10480,100.0
picture_url,0,0.0,10480,100.0
host_id,0,0.0,10480,100.0
host_url,0,0.0,10480,100.0
neighbourhood_cleansed,0,0.0,10480,100.0
latitude,0,0.0,10480,100.0
property_type,0,0.0,10480,100.0
availability_90,0,0.0,10480,100.0
room_type,0,0.0,10480,100.0
accommodates,0,0.0,10480,100.0
listing_url,0,0.0,10480,100.0
minimum_nights,0,0.0,10480,100.0
maximum_nights,0,0.0,10480,100.0
minimum_nights_avg_ntm,0,0.0,10480,100.0
maximum_nights_avg_ntm,0,0.0,10480,100.0
availability_30,0,0.0,10480,100.0
availability_60,0,0.0,10480,100.0
amenities,0,0.0,10480,100.0
