Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R²,Test_R²
Linear Regression,16536.520074244767,16839.627809944326,12341.35297876994,12589.897281601447,0.44609603956129906,0.40919803093325513
SVM,22803.646213737033,22595.320827516152,17759.62741947659,17698.94023786041,-0.0533066222184817,-0.06368731848889819
