original_2021,adjusted_2021,target_2025
4.68,4.81,4.86
4.69,4.81,5.0
4.72,4.83,4.79
4.62,4.75,4.9
5.0,5.0,4.88
5.0,5.0,4.92
4.8,4.89,4.81
4.62,4.75,5.0
4.88,4.95,4.95
4.81,4.89,4.69
4.88,4.95,5.0
4.71,4.83,4.95
4.75,4.86,4.91
4.5,4.69,4.93
4.78,4.87,4.75
4.93,5.0,4.57
4.71,4.83,4.99
4.68,4.81,4.84
4.68,4.81,4.91
4.85,4.92,4.89
4.93,5.0,4.75
4.92,5.0,4.91
4.41,4.61,4.84
4.74,4.84,4.86
4.72,4.83,4.81
4.94,5.0,4.88
4.78,4.87,4.67
4.9,4.97,4.8
4.91,5.0,4.77
4.58,4.74,4.77
4.75,4.86,4.71
4.79,4.88,4.98
4.8,4.89,4.73
4.57,4.73,4.95
5.0,5.0,4.9
4.88,4.95,4.8
4.53,4.71,4.81
4.95,5.0,4.83
4.25,4.52,4.54
4.61,4.75,4.58
4.51,4.7,5.0
5.0,5.0,4.89
4.54,4.71,5.0
4.33,4.58,4.85
4.89,4.96,4.72
4.93,5.0,4.43
4.23,4.5,4.63
4.66,4.78,4.78
5.0,5.0,4.67
4.78,4.87,2.5
4.77,4.86,4.91
4.5,4.69,4.86
4.63,4.76,4.96
4.89,4.96,4.84
4.74,4.84,4.83
4.72,4.83,4.98
4.76,4.86,4.38
4.0,4.5,4.89
4.83,4.91,4.91
4.55,4.71,4.73
4.92,5.0,5.0
5.0,5.0,4.86
4.73,4.83,5.0
4.82,4.9,4.83
4.69,4.81,4.93
4.7,4.82,4.96
5.0,5.0,4.84
5.0,5.0,4.93
4.82,4.9,4.81
4.67,4.8,4.83
4.88,4.95,4.92
4.14,4.5,4.73
5.0,5.0,4.91
4.9,4.97,5.0
5.0,5.0,4.89
5.0,5.0,4.62
4.82,4.9,4.59
4.72,4.83,4.96
4.93,5.0,5.0
4.69,4.81,4.89
4.76,4.86,5.0
4.81,4.89,4.53
4.81,4.89,4.91
4.9,4.97,4.37
4.85,4.92,4.85
4.8,4.89,4.9
4.93,5.0,4.69
5.0,5.0,4.93
4.77,4.86,4.91
5.0,5.0,4.97
4.63,4.76,4.35
4.98,5.0,4.92
4.57,4.73,5.0
4.78,4.87,4.62
4.98,5.0,4.92
4.7,4.82,4.88
4.5,4.69,4.72
4.92,5.0,4.97
4.65,4.77,4.91
4.8,4.89,4.76
4.84,4.92,4.68
4.7,4.82,4.9
4.83,4.91,4.71
4.91,5.0,5.0
4.81,4.89,4.86
4.83,4.91,4.79
4.89,4.96,4.95
4.39,4.6,4.89
4.82,4.9,4.9
4.62,4.75,4.77
4.89,4.96,4.56
4.9,4.97,5.0
4.96,5.0,4.73
4.88,4.95,4.77
4.7,4.82,4.92
4.79,4.88,4.95
4.9,4.97,4.88
4.7,4.82,4.52
4.76,4.86,4.94
4.9,4.97,5.0
4.84,4.92,4.63
4.86,4.93,4.92
4.79,4.88,4.75
4.66,4.78,4.89
4.92,5.0,4.84
4.87,4.94,4.82
4.67,4.8,4.94
5.0,5.0,4.47
4.8,4.89,5.0
4.85,4.92,4.85
4.71,4.83,4.81
4.91,5.0,4.5
4.8,4.89,4.92
4.82,4.9,4.89
4.91,5.0,4.86
4.7,4.82,4.96
4.81,4.89,4.5
5.0,5.0,4.85
4.67,4.8,4.71
4.94,5.0,4.73
4.4,4.61,4.83
4.71,4.83,4.68
4.52,4.7,4.88
4.79,4.88,4.95
4.72,4.83,4.71
5.0,5.0,5.0
4.73,4.83,4.72
4.85,4.92,4.77
5.0,5.0,4.86
4.8,4.89,4.66
4.67,4.8,4.0
4.78,4.87,4.98
4.64,4.77,4.79
4.61,4.75,5.0
4.71,4.83,4.79
4.8,4.89,4.97
4.93,5.0,4.81
5.0,5.0,4.89
4.81,4.89,5.0
4.5,4.69,4.85
5.0,5.0,4.8
4.8,4.89,4.77
4.61,4.75,4.94
4.75,4.86,4.75
4.81,4.89,4.85
4.94,5.0,4.92
4.98,5.0,4.59
4.82,4.9,4.88
4.94,5.0,4.7
4.5,4.69,4.81
4.29,4.54,4.59
4.68,4.81,4.71
4.72,4.83,4.72
4.58,4.74,4.88
4.82,4.9,4.96
4.7,4.82,4.96
4.83,4.91,4.97
4.85,4.92,4.67
4.97,5.0,4.85
4.43,4.63,4.69
4.74,4.84,4.69
4.78,4.87,4.78
4.45,4.64,4.76
4.8,4.89,4.84
4.81,4.89,4.1
4.33,4.58,4.92
4.35,4.58,4.68
4.75,4.86,4.92
4.44,4.63,4.94
4.9,4.97,4.93
4.79,4.88,4.93
4.7,4.82,4.55
4.86,4.93,4.41
4.35,4.58,4.4
4.82,4.9,5.0
4.81,4.89,5.0
5.0,5.0,4.89
4.84,4.92,4.97
4.73,4.83,4.92
4.69,4.81,4.92
4.85,4.92,4.8
4.9,4.97,4.96
4.4,4.61,4.89
4.81,4.89,4.96
4.8,4.89,4.46
4.75,4.86,4.58
4.36,4.58,4.49
4.53,4.71,4.43
4.83,4.91,4.9
5.0,5.0,4.87
4.81,4.89,4.85
4.82,4.9,4.8
4.67,4.8,4.6
4.64,4.77,4.8
4.64,4.77,4.67
4.88,4.95,4.84
4.73,4.83,5.0
4.69,4.81,4.84
4.19,4.5,4.88
4.81,4.89,4.93
4.72,4.83,4.87
5.0,5.0,4.93
4.86,4.93,5.0
4.8,4.89,4.83
4.67,4.8,4.96
4.86,4.93,4.79
4.95,5.0,4.89
4.78,4.87,4.97
4.0,4.5,5.0
4.9,4.97,5.0
