original_2021,adjusted_2021,target_2025
4.85,4.92,4.78
4.67,4.8,4.33
5.0,5.0,4.46
4.67,4.8,4.32
4.5,4.69,4.57
4.85,4.92,4.57
4.58,4.74,4.74
5.0,5.0,5.0
4.38,4.6,4.33
4.88,4.95,5.0
4.67,4.8,4.78
4.88,4.95,4.86
4.78,4.87,4.84
4.82,4.9,4.93
4.95,5.0,4.81
4.69,4.81,5.0
0.0,4.0,4.86
4.83,4.91,4.88
4.56,4.72,4.67
4.88,4.95,5.0
4.76,4.86,5.0
4.95,5.0,4.8
5.0,5.0,4.79
5.0,5.0,5.0
4.77,4.86,5.0
4.96,5.0,4.63
4.46,4.64,5.0
5.0,5.0,4.92
4.8,4.89,4.81
4.72,4.83,4.75
5.0,5.0,4.95
4.5,4.69,5.0
5.0,5.0,4.84
5.0,5.0,4.98
4.5,4.69,4.51
4.78,4.87,4.91
4.83,4.91,4.98
4.95,5.0,4.85
4.83,4.91,4.67
5.0,5.0,4.9
4.81,4.89,4.64
4.67,4.8,4.91
4.89,4.96,4.86
4.88,4.95,4.91
5.0,5.0,4.58
4.87,4.94,4.6
4.84,4.92,4.92
4.88,4.95,5.0
4.43,4.63,4.63
5.0,5.0,4.86
5.0,5.0,4.97
4.89,4.96,4.94
4.77,4.86,5.0
4.85,4.92,4.71
4.91,5.0,4.71
4.75,4.86,4.88
5.0,5.0,5.0
4.67,4.8,4.56
4.94,5.0,5.0
5.0,5.0,4.74
4.61,4.75,4.83
4.3,4.55,4.86
5.0,5.0,4.62
4.83,4.91,4.92
4.4,4.61,4.95
4.86,4.93,5.0
4.59,4.74,4.97
4.93,5.0,5.0
4.83,4.91,4.88
4.33,4.58,4.85
4.6,4.75,4.97
4.79,4.88,4.98
4.59,4.74,4.73
4.79,4.88,5.0
4.71,4.83,4.9
4.0,4.5,4.84
4.56,4.72,4.93
4.4,4.61,4.79
4.81,4.89,4.87
5.0,5.0,4.97
4.69,4.81,4.97
4.09,4.5,4.9
4.5,4.69,4.89
4.5,4.69,4.93
5.0,5.0,4.89
5.0,5.0,4.7
4.61,4.75,5.0
4.5,4.69,4.89
5.0,5.0,4.82
4.87,4.94,4.74
4.63,4.76,4.71
4.95,5.0,4.87
4.0,4.5,4.88
4.92,5.0,4.59
0.0,4.0,4.85
5.0,5.0,5.0
4.56,4.72,4.96
4.88,4.95,4.84
4.86,4.93,4.9
4.67,4.8,4.9
4.7,4.82,5.0
4.65,4.77,4.96
4.92,5.0,4.95
5.0,5.0,5.0
4.81,4.89,4.6
5.0,5.0,4.86
4.88,4.95,4.69
5.0,5.0,4.94
4.92,5.0,5.0
4.68,4.81,5.0
5.0,5.0,4.9
4.69,4.81,4.83
4.91,5.0,4.69
4.88,4.95,5.0
4.9,4.97,4.81
4.83,4.91,4.92
5.0,5.0,4.93
4.54,4.71,4.56
5.0,5.0,4.92
5.0,5.0,4.93
4.77,4.86,4.68
4.83,4.91,4.89
4.88,4.95,4.96
4.94,5.0,4.8
4.57,4.73,4.89
4.74,4.84,5.0
5.0,5.0,5.0
5.0,5.0,4.96
4.88,4.95,4.82
5.0,5.0,4.92
4.67,4.8,4.87
4.7,4.82,4.9
5.0,5.0,4.86
4.75,4.86,4.75
5.0,5.0,4.83
4.53,4.71,4.81
4.91,5.0,4.56
4.97,5.0,4.58
4.4,4.61,4.77
4.69,4.81,4.88
4.33,4.58,4.81
4.74,4.84,4.86
4.5,4.69,5.0
4.44,4.63,4.83
4.77,4.86,4.79
4.0,4.5,4.9
4.71,4.83,4.7
4.58,4.74,4.91
4.96,5.0,4.55
4.71,4.83,4.41
4.77,4.86,4.86
4.82,4.9,4.89
4.78,4.87,4.96
5.0,5.0,5.0
5.0,5.0,4.92
4.56,4.72,4.85
4.67,4.8,4.82
4.71,4.83,4.89
4.75,4.86,4.83
5.0,5.0,4.5
4.7,4.82,4.9
4.77,4.86,4.95
4.5,4.69,4.6
4.75,4.86,4.88
4.57,4.73,4.67
5.0,5.0,4.81
4.5,4.69,4.88
4.83,4.91,5.0
4.75,4.86,5.0
4.92,5.0,4.85
4.13,4.5,5.0
4.92,5.0,4.95
5.0,5.0,4.38
4.66,4.78,4.58
4.45,4.64,4.9
4.73,4.83,5.0
4.4,4.61,4.82
4.78,4.87,4.7
5.0,5.0,4.88
4.67,4.8,4.72
4.92,5.0,4.78
4.37,4.59,4.44
4.47,4.64,4.79
4.67,4.8,4.31
4.88,4.95,4.38
3.86,4.33,4.47
4.75,4.86,4.51
4.7,4.82,4.41
4.6,4.75,4.68
4.91,5.0,4.96
4.71,4.83,4.95
4.88,4.95,4.77
4.75,4.86,5.0
4.67,4.8,4.48
4.92,5.0,4.69
4.89,4.96,4.9
5.0,5.0,4.81
4.82,4.9,5.0
4.53,4.71,4.85
5.0,5.0,4.9
4.46,4.64,4.93
4.86,4.93,4.77
4.64,4.77,4.88
4.9,4.97,4.71
4.67,4.8,5.0
4.5,4.69,4.79
4.0,4.5,5.0
4.31,4.55,5.0
4.85,4.92,4.94
4.58,4.74,4.85
4.63,4.76,4.92
4.74,4.84,4.93
4.88,4.95,4.82
4.6,4.75,4.89
4.92,5.0,4.62
5.0,5.0,5.0
4.71,4.83,4.61
4.94,5.0,5.0
5.0,5.0,4.73
4.82,4.9,4.91
4.64,4.77,4.75
4.93,5.0,4.88
4.64,4.77,4.92
4.82,4.9,4.89
4.63,4.76,4.78
4.66,4.78,4.87
4.67,4.8,4.76
4.5,4.69,4.49
4.57,4.73,4.92
4.83,4.91,4.67
4.97,5.0,4.95
4.92,5.0,5.0
5.0,5.0,4.96
4.44,4.63,4.93
4.86,4.93,4.89
4.75,4.86,4.92
4.75,4.86,4.92
5.0,5.0,4.85
4.2,4.5,4.67
4.64,4.77,4.69
4.22,4.5,4.89
4.73,4.83,4.85
4.78,4.87,4.83
4.89,4.96,4.93
5.0,5.0,5.0
4.74,4.84,5.0
4.8,4.89,4.81
4.5,4.69,4.96
4.76,4.86,5.0
4.57,4.73,4.96
5.0,5.0,4.99
3.5,4.25,5.0
4.86,4.93,4.87
4.75,4.86,4.88
4.8,4.89,4.98
5.0,5.0,5.0
4.81,4.89,4.77
4.67,4.8,4.94
5.0,5.0,4.75
4.9,4.97,4.94
4.89,4.96,4.75
4.88,4.95,4.92
4.46,4.64,5.0
4.67,4.8,4.63
5.0,5.0,4.78
5.0,5.0,4.64
4.5,4.69,4.81
4.9,4.97,4.92
4.63,4.76,4.93
4.61,4.75,4.96
4.68,4.81,4.98
4.82,4.9,4.79
4.5,4.69,4.93
5.0,5.0,4.91
4.88,4.95,4.88
4.46,4.64,5.0
4.53,4.71,4.89
4.83,4.91,4.8
5.0,5.0,4.9
4.86,4.93,4.94
4.87,4.94,4.95
5.0,5.0,5.0
4.89,4.96,4.88
4.97,5.0,4.81
4.81,4.89,4.88
4.91,5.0,4.83
4.65,4.77,4.6
4.45,4.64,4.88
4.75,4.86,4.87
4.84,4.92,5.0
4.78,4.87,4.84
4.74,4.84,4.78
4.94,5.0,4.86
5.0,5.0,4.8
4.88,4.95,4.89
5.0,5.0,4.65
4.71,4.83,5.0
4.86,4.93,4.91
4.68,4.81,5.0
4.91,5.0,4.71
4.88,4.95,4.79
4.81,4.89,4.66
4.97,5.0,4.93
4.5,4.69,4.92
4.73,4.83,4.71
4.8,4.89,4.76
4.56,4.72,4.94
4.9,4.97,4.63
4.8,4.89,4.92
4.78,4.87,4.73
4.58,4.74,5.0
4.48,4.65,5.0
4.93,5.0,5.0
4.87,4.94,4.8
4.91,5.0,4.91
4.88,4.95,4.92
5.0,5.0,4.96
4.75,4.86,4.88
4.8,4.89,4.74
4.7,4.82,4.79
4.9,4.97,4.91
4.67,4.8,4.84
4.75,4.86,4.79
4.68,4.81,4.97
4.83,4.91,4.94
4.93,5.0,4.86
4.53,4.71,4.85
4.8,4.89,4.84
4.48,4.65,4.79
4.6,4.75,4.89
4.92,5.0,4.73
5.0,5.0,4.78
4.6,4.75,4.9
4.81,4.89,4.83
4.64,4.77,4.89
4.92,5.0,4.85
4.18,4.5,4.74
4.75,4.86,4.93
4.0,4.5,4.74
5.0,5.0,4.86
4.83,4.91,4.81
5.0,5.0,4.9
4.44,4.63,4.69
5.0,5.0,4.88
4.63,4.76,4.64
4.6,4.75,4.88
4.9,4.97,4.73
4.81,4.89,4.91
5.0,5.0,4.86
4.77,4.86,4.9
4.93,5.0,4.0
4.74,4.84,4.9
4.55,4.71,4.67
4.88,4.95,5.0
4.8,4.89,4.93
5.0,5.0,4.79
4.72,4.83,4.91
4.73,4.83,4.86
4.83,4.91,5.0
4.5,4.69,4.65
4.94,5.0,4.67
4.85,4.92,4.86
4.93,5.0,4.66
4.95,5.0,4.74
5.0,5.0,4.95
4.9,4.97,4.8
4.83,4.91,4.78
4.69,4.81,4.91
4.25,4.52,5.0
4.79,4.88,5.0
4.75,4.86,4.75
4.88,4.95,4.96
5.0,5.0,4.9
4.79,4.88,4.94
4.53,4.71,4.68
4.79,4.88,4.9
4.8,4.89,4.56
4.87,4.94,4.95
4.86,4.93,4.67
4.93,5.0,4.78
4.95,5.0,4.89
5.0,5.0,4.91
4.92,5.0,4.94
4.2,4.5,4.88
0.0,4.0,4.87
4.77,4.86,5.0
4.93,5.0,4.92
5.0,5.0,4.82
4.67,4.8,5.0
4.89,4.96,4.95
5.0,5.0,5.0
4.89,4.96,4.85
4.8,4.89,4.74
5.0,5.0,4.97
4.67,4.8,4.97
4.17,4.5,4.8
4.57,4.73,4.94
4.6,4.75,4.88
5.0,5.0,4.87
4.92,5.0,4.88
4.87,4.94,4.97
4.84,4.92,4.94
5.0,5.0,4.91
4.63,4.76,5.0
4.61,4.75,4.9
4.88,4.95,4.79
4.82,4.9,4.76
5.0,5.0,4.64
4.89,4.96,4.92
4.75,4.86,5.0
4.78,4.87,4.77
4.87,4.94,4.82
4.88,4.95,4.98
4.67,4.8,5.0
4.89,4.96,4.81
4.89,4.96,4.92
4.95,5.0,4.92
4.71,4.83,4.67
4.6,4.75,4.55
4.88,4.95,4.53
4.6,4.75,5.0
4.79,4.88,4.93
5.0,5.0,4.94
4.0,4.5,4.95
5.0,5.0,5.0
4.32,4.55,5.0
4.84,4.92,4.77
4.86,4.93,5.0
4.69,4.81,5.0
4.77,4.86,4.89
4.67,4.8,4.76
4.81,4.89,4.85
5.0,5.0,4.86
4.91,5.0,5.0
5.0,5.0,5.0
4.79,4.88,4.92
4.69,4.81,4.67
4.96,5.0,5.0
4.86,4.93,4.73
4.93,5.0,4.73
5.0,5.0,4.96
5.0,5.0,4.66
4.88,4.95,5.0
4.83,4.91,4.94
5.0,5.0,4.88
4.38,4.6,4.92
4.89,4.96,4.83
5.0,5.0,4.4
4.67,4.8,4.69
4.89,4.96,4.92
4.96,5.0,5.0
4.96,5.0,5.0
4.85,4.92,4.9
4.96,5.0,4.72
4.62,4.75,4.95
4.86,4.93,4.73
4.78,4.87,4.91
4.0,4.5,4.78
4.87,4.94,4.83
4.82,4.9,4.92
4.5,4.69,4.88
4.9,4.97,4.87
4.94,5.0,4.91
5.0,5.0,4.82
3.86,4.33,4.98
4.74,4.84,5.0
4.82,4.9,4.39
4.65,4.77,5.0
4.5,4.69,4.95
4.95,5.0,4.94
5.0,5.0,4.94
4.87,4.94,5.0
4.75,4.86,4.93
4.89,4.96,4.93
3.0,4.17,4.91
4.5,4.69,4.79
4.64,4.77,4.88
5.0,5.0,4.84
4.33,4.58,4.63
4.9,4.97,4.56
3.25,4.17,4.94
4.96,5.0,5.0
4.93,5.0,4.93
4.14,4.5,4.93
4.77,4.86,4.92
4.62,4.75,4.94
4.67,4.8,4.8
4.57,4.73,5.0
4.75,4.86,4.74
5.0,5.0,4.9
4.9,4.97,4.86
5.0,5.0,4.75
5.0,5.0,4.93
4.88,4.95,4.89
4.91,5.0,4.85
5.0,5.0,4.88
4.88,4.95,4.96
4.67,4.8,5.0
4.72,4.83,4.99
4.76,4.86,5.0
4.83,4.91,4.71
5.0,5.0,4.97
4.7,4.82,4.87
4.94,5.0,4.93
5.0,5.0,4.9
4.94,5.0,4.82
4.67,4.8,4.86
4.82,4.9,4.91
4.68,4.81,4.9
4.78,4.87,5.0
4.73,4.83,4.91
4.94,5.0,4.77
4.78,4.87,4.9
4.5,4.69,4.97
4.91,5.0,4.82
4.63,4.76,4.73
4.96,5.0,4.92
4.94,5.0,4.7
5.0,5.0,4.85
4.88,4.95,4.96
4.83,4.91,4.88
5.0,5.0,4.85
4.91,5.0,4.93
4.8,4.89,4.92
4.8,4.89,4.64
4.6,4.75,4.9
4.55,4.71,4.74
5.0,5.0,4.83
4.5,4.69,4.77
4.76,4.86,4.81
4.77,4.86,4.67
4.6,4.75,4.63
4.96,5.0,4.63
4.78,4.87,4.81
4.65,4.77,4.95
4.8,4.89,4.95
4.63,4.76,4.64
4.82,4.9,4.58
4.81,4.89,4.51
4.86,4.93,5.0
4.82,4.9,4.89
4.88,4.95,4.87
4.8,4.89,4.91
4.5,4.69,5.0
4.88,4.95,4.86
4.91,5.0,4.85
4.71,4.83,4.56
4.82,4.9,4.56
4.85,4.92,4.59
4.96,5.0,5.0
4.56,4.72,5.0
4.4,4.61,4.89
4.94,5.0,4.93
4.87,4.94,4.77
5.0,5.0,4.95
4.5,4.69,4.89
4.53,4.71,4.75
4.5,4.69,4.83
4.8,4.89,4.89
4.0,4.5,4.96
4.65,4.77,4.91
4.57,4.73,4.64
5.0,5.0,4.92
4.6,4.75,4.72
4.56,4.72,4.95
4.83,4.91,4.83
4.86,4.93,4.97
4.97,5.0,4.88
5.0,5.0,4.96
4.84,4.92,4.99
4.6,4.75,4.95
4.88,4.95,4.87
4.43,4.63,4.92
4.8,4.89,4.4
5.0,5.0,4.93
4.83,4.91,4.84
4.77,4.86,4.86
4.6,4.75,4.92
4.94,5.0,4.92
4.94,5.0,4.84
4.79,4.88,4.63
4.88,4.95,4.71
4.67,4.8,4.89
4.97,5.0,5.0
4.61,4.75,4.89
4.78,4.87,4.92
4.92,5.0,2.5
4.51,4.7,4.93
4.67,4.8,4.95
4.63,4.76,4.78
4.88,4.95,4.75
4.83,4.91,4.78
4.86,4.93,4.79
4.5,4.69,4.87
0.0,4.0,5.0
4.69,4.81,4.92
4.71,4.83,4.82
4.78,4.87,4.82
4.55,4.71,4.95
4.78,4.87,4.7
4.5,4.69,4.85
4.62,4.75,4.64
4.85,4.92,4.91
4.83,4.91,5.0
4.8,4.89,5.0
4.5,4.69,4.62
4.75,4.86,4.97
4.76,4.86,4.82
4.89,4.96,4.95
4.78,4.87,4.95
5.0,5.0,4.89
4.9,4.97,4.69
5.0,5.0,4.88
5.0,5.0,4.97
4.7,4.82,4.47
4.87,4.94,4.98
3.5,4.25,4.68
4.82,4.9,4.85
4.82,4.9,4.56
5.0,5.0,4.85
4.37,4.59,4.86
5.0,5.0,4.83
4.85,4.92,5.0
4.87,4.94,5.0
4.0,4.5,4.92
4.58,4.74,4.99
4.0,4.5,4.84
4.55,4.71,4.98
5.0,5.0,4.65
5.0,5.0,4.68
4.92,5.0,4.95
5.0,5.0,5.0
5.0,5.0,5.0
4.94,5.0,4.92
4.65,4.77,4.89
4.67,4.8,4.9
4.88,4.95,4.88
4.68,4.81,4.96
4.83,4.91,4.79
4.75,4.86,5.0
4.6,4.75,5.0
4.82,4.9,4.67
4.91,5.0,4.9
0.0,4.0,4.93
4.95,5.0,4.77
4.9,4.97,5.0
4.71,4.83,4.89
4.92,5.0,5.0
4.92,5.0,4.98
4.78,4.87,4.86
5.0,5.0,4.92
5.0,5.0,4.81
4.0,4.5,4.94
4.94,5.0,4.76
4.33,4.58,4.97
4.8,4.89,4.94
4.25,4.52,4.78
5.0,5.0,4.89
4.53,4.71,4.94
4.92,5.0,4.88
4.88,4.95,4.45
5.0,5.0,4.83
4.75,4.86,4.96
5.0,5.0,4.93
4.48,4.65,5.0
4.74,4.84,4.97
5.0,5.0,5.0
4.78,4.87,4.81
4.87,4.94,4.83
4.8,4.89,4.82
4.63,4.76,5.0
4.6,4.75,4.99
5.0,5.0,4.83
4.89,4.96,4.94
4.67,4.8,4.78
4.11,4.5,4.89
4.56,4.72,4.81
4.5,4.69,4.2
4.67,4.8,4.92
4.87,4.94,4.91
4.73,4.83,4.89
4.78,4.87,4.81
5.0,5.0,4.67
4.89,4.96,4.6
4.8,4.89,4.87
4.56,4.72,4.89
4.92,5.0,4.81
4.87,4.94,4.9
4.57,4.73,4.85
4.33,4.58,4.72
4.22,4.5,5.0
5.0,5.0,4.71
4.94,5.0,4.73
5.0,5.0,4.25
4.92,5.0,4.8
4.89,4.96,4.92
4.88,4.95,4.75
4.93,5.0,4.92
4.55,4.71,4.66
4.69,4.81,4.91
4.76,4.86,4.84
4.36,4.58,4.81
4.75,4.86,4.72
4.44,4.63,4.76
4.5,4.69,4.76
4.86,4.93,4.9
4.78,4.87,4.74
5.0,5.0,4.79
4.85,4.92,4.86
4.4,4.61,4.97
4.75,4.86,5.0
4.8,4.89,4.69
5.0,5.0,5.0
4.92,5.0,5.0
4.93,5.0,5.0
4.22,4.5,4.65
4.91,5.0,5.0
5.0,5.0,5.0
4.81,4.89,5.0
4.62,4.75,4.82
4.47,4.64,4.6
4.69,4.81,4.91
4.8,4.89,5.0
4.82,4.9,5.0
5.0,5.0,4.71
4.82,4.9,4.84
4.86,4.93,4.86
4.67,4.8,4.93
4.91,5.0,5.0
4.97,5.0,5.0
4.83,4.91,5.0
4.63,4.76,4.96
5.0,5.0,4.96
4.7,4.82,5.0
4.91,5.0,4.72
4.4,4.61,4.73
4.7,4.82,4.94
4.68,4.81,4.6
4.85,4.92,4.9
4.5,4.69,4.97
4.67,4.8,4.81
4.93,5.0,4.93
4.83,4.91,5.0
4.67,4.8,4.88
4.5,4.69,4.61
4.67,4.8,5.0
4.62,4.75,5.0
4.55,4.71,4.88
4.43,4.63,4.89
4.81,4.89,4.93
4.62,4.75,4.83
4.85,4.92,4.91
4.88,4.95,4.68
5.0,5.0,5.0
4.5,4.69,4.96
4.92,5.0,4.95
5.0,5.0,4.62
4.9,4.97,4.96
4.77,4.86,4.83
4.84,4.92,4.68
4.88,4.95,4.76
4.05,4.5,4.94
5.0,5.0,5.0
4.78,4.87,4.87
4.75,4.86,4.65
4.91,5.0,4.93
5.0,5.0,5.0
4.96,5.0,4.97
5.0,5.0,4.97
4.79,4.88,4.64
5.0,5.0,4.23
4.88,4.95,4.61
4.65,4.77,4.96
4.65,4.77,4.94
4.75,4.86,4.88
4.5,4.69,4.62
4.42,4.62,4.71
4.87,4.94,4.88
4.88,4.95,4.58
4.78,4.87,4.86
5.0,5.0,4.96
4.77,4.86,4.66
4.8,4.89,4.88
4.78,4.87,4.83
4.84,4.92,4.85
4.87,4.94,4.89
4.67,4.8,4.69
4.73,4.83,4.45
5.0,5.0,5.0
4.75,4.86,4.58
4.97,5.0,4.68
4.63,4.76,4.63
4.62,4.75,5.0
4.83,4.91,4.51
4.5,4.69,4.55
4.77,4.86,5.0
5.0,5.0,4.88
4.66,4.78,4.69
4.83,4.91,5.0
5.0,5.0,5.0
4.64,4.77,4.92
0.0,4.0,4.91
5.0,5.0,4.82
4.89,4.96,4.94
4.64,4.77,4.92
5.0,5.0,4.73
4.83,4.91,4.92
4.69,4.81,4.93
4.57,4.73,4.8
4.79,4.88,4.94
5.0,5.0,4.93
4.3,4.55,4.9
4.82,4.9,4.9
4.87,4.94,5.0
4.75,4.86,5.0
5.0,5.0,4.65
4.93,5.0,4.88
5.0,5.0,4.92
4.67,4.8,4.54
4.69,4.81,5.0
4.67,4.8,4.52
4.95,5.0,4.95
4.67,4.8,4.63
4.86,4.93,4.84
4.67,4.8,5.0
4.33,4.58,4.69
4.41,4.61,5.0
4.44,4.63,4.75
4.3,4.55,5.0
4.89,4.96,5.0
4.63,4.76,4.87
5.0,5.0,4.83
4.86,4.93,4.81
5.0,5.0,4.86
5.0,5.0,4.77
4.67,4.8,5.0
5.0,5.0,4.55
4.71,4.83,4.81
4.8,4.89,4.87
4.72,4.83,5.0
4.65,4.77,5.0
4.93,5.0,4.82
5.0,5.0,5.0
4.4,4.61,4.67
4.8,4.89,4.86
4.91,5.0,4.94
4.75,4.86,4.82
4.0,4.5,4.76
4.77,4.86,4.89
5.0,5.0,5.0
5.0,5.0,4.87
5.0,5.0,4.89
4.83,4.91,4.77
5.0,5.0,4.82
4.93,5.0,4.93
4.63,4.76,4.82
4.62,4.75,4.92
4.96,5.0,4.95
4.91,5.0,4.88
4.6,4.75,4.98
4.7,4.82,5.0
5.0,5.0,5.0
4.71,4.83,4.52
5.0,5.0,4.5
4.43,4.63,4.96
0.0,4.0,4.9
4.92,5.0,4.85
4.83,4.91,4.86
5.0,5.0,4.79
4.84,4.92,5.0
4.88,4.95,4.63
4.92,5.0,4.81
5.0,5.0,4.89
4.17,4.5,4.86
4.6,4.75,4.71
4.63,4.76,5.0
4.93,5.0,4.57
4.67,4.8,4.54
4.62,4.75,4.94
4.57,4.73,4.88
4.85,4.92,4.74
4.0,4.5,4.81
4.69,4.81,4.95
5.0,5.0,4.21
4.33,4.58,4.97
4.89,4.96,4.93
4.75,4.86,4.66
4.67,4.8,4.86
4.74,4.84,4.95
4.66,4.78,4.95
4.93,5.0,4.96
4.75,4.86,4.9
4.85,4.92,5.0
5.0,5.0,4.76
4.75,4.86,4.58
4.86,4.93,4.65
4.86,4.93,4.88
4.71,4.83,4.86
4.84,4.92,5.0
5.0,5.0,4.83
4.8,4.89,4.92
4.88,4.95,4.91
4.79,4.88,4.94
4.81,4.89,4.9
4.8,4.89,4.76
4.89,4.96,4.73
4.5,4.69,4.89
4.63,4.76,4.87
4.89,4.96,4.85
4.85,4.92,4.64
4.73,4.83,5.0
5.0,5.0,4.89
4.71,4.83,4.87
4.79,4.88,4.94
4.8,4.89,4.94
4.8,4.89,4.87
4.75,4.86,5.0
4.75,4.86,4.73
4.0,4.5,5.0
4.48,4.65,4.84
4.9,4.97,4.93
4.77,4.86,4.73
4.61,4.75,5.0
4.94,5.0,4.86
4.92,5.0,4.73
4.78,4.87,5.0
4.98,5.0,4.72
4.41,4.61,4.91
4.8,4.89,4.94
4.94,5.0,4.88
4.9,4.97,4.54
4.76,4.86,4.9
4.57,4.73,4.68
4.91,5.0,4.79
4.67,4.8,4.75
5.0,5.0,4.92
4.7,4.82,4.78
4.83,4.91,4.96
4.7,4.82,4.85
4.6,4.75,4.64
4.57,4.73,4.95
4.74,4.84,4.74
4.65,4.77,4.92
4.85,4.92,5.0
5.0,5.0,4.83
4.81,4.89,4.78
4.89,4.96,4.89
4.71,4.83,4.9
5.0,5.0,4.57
5.0,5.0,4.82
4.0,4.5,4.99
5.0,5.0,5.0
4.86,4.93,4.44
4.71,4.83,4.97
4.7,4.82,4.87
4.0,4.5,4.77
4.57,4.73,5.0
5.0,5.0,4.89
4.69,4.81,4.67
4.71,4.83,4.75
4.84,4.92,4.43
4.84,4.92,4.47
4.81,4.89,5.0
4.94,5.0,4.98
4.74,4.84,4.9
5.0,5.0,4.92
4.63,4.76,4.96
4.63,4.76,5.0
5.0,5.0,4.9
5.0,5.0,4.94
4.9,4.97,5.0
4.77,4.86,4.9
4.7,4.82,5.0
4.81,4.89,4.85
4.91,5.0,4.89
4.78,4.87,4.87
4.43,4.63,4.59
4.77,4.86,4.74
4.5,4.69,4.74
4.43,4.63,4.44
4.84,4.92,5.0
4.89,4.96,5.0
4.38,4.6,5.0
4.65,4.77,5.0
4.8,4.89,4.83
4.4,4.61,4.88
4.29,4.54,4.53
4.8,4.89,5.0
4.54,4.71,4.8
4.86,4.93,4.9
4.73,4.83,5.0
4.93,5.0,5.0
5.0,5.0,4.97
4.59,4.74,4.94
4.68,4.81,5.0
5.0,5.0,5.0
4.96,5.0,4.93
4.86,4.93,4.33
4.0,4.5,4.93
4.36,4.58,4.9
3.0,4.17,4.83
4.87,4.94,5.0
4.9,4.97,4.83
4.93,5.0,5.0
5.0,5.0,5.0
4.84,4.92,4.7
5.0,5.0,4.47
4.88,4.95,4.84
4.9,4.97,4.52
4.56,4.72,4.89
4.82,4.9,4.54
4.75,4.86,4.83
4.59,4.74,4.82
4.75,4.86,5.0
5.0,5.0,4.89
4.54,4.71,5.0
3.0,4.17,4.92
4.9,4.97,4.78
4.95,5.0,5.0
4.84,4.92,4.91
4.69,4.81,5.0
4.92,5.0,4.63
4.0,4.5,4.73
4.25,4.52,4.6
5.0,5.0,4.89
4.78,4.87,4.61
4.92,5.0,4.82
4.92,5.0,5.0
4.68,4.81,4.83
4.8,4.89,4.82
4.75,4.86,4.94
4.85,4.92,4.97
4.75,4.86,4.88
4.82,4.9,4.92
4.43,4.63,4.87
4.93,5.0,4.69
4.87,4.94,4.83
4.47,4.64,5.0
4.5,4.69,4.81
4.96,5.0,5.0
4.94,5.0,4.88
5.0,5.0,4.77
5.0,5.0,5.0
4.82,4.9,4.9
4.56,4.72,4.85
4.0,4.5,4.83
4.88,4.95,4.5
4.75,4.86,4.86
5.0,5.0,4.71
5.0,5.0,4.99
4.89,4.96,4.63
4.68,4.81,5.0
4.0,4.5,4.75
5.0,5.0,4.89
5.0,5.0,4.83
4.9,4.97,4.94
4.88,4.95,4.93
4.89,4.96,4.71
4.89,4.96,4.91
4.95,5.0,4.75
5.0,5.0,5.0
4.81,4.89,4.92
4.89,4.96,4.8
4.71,4.83,4.64
4.53,4.71,4.91
4.89,4.96,4.85
4.64,4.77,4.9
5.0,5.0,4.49
4.69,4.81,4.53
4.92,5.0,5.0
5.0,5.0,4.94
5.0,5.0,4.95
4.76,4.86,4.9
4.83,4.91,4.92
4.89,4.96,4.73
4.83,4.91,4.78
4.33,4.58,4.57
4.79,4.88,4.99
5.0,5.0,4.92
4.69,4.81,4.9
3.33,4.2,4.83
5.0,5.0,4.84
5.0,5.0,5.0
4.94,5.0,4.8
4.79,4.88,4.98
4.27,4.53,4.96
4.95,5.0,4.81
4.66,4.78,4.86
4.85,4.92,4.57
4.97,5.0,5.0
4.55,4.71,4.94
4.76,4.86,4.89
5.0,5.0,5.0
4.73,4.83,5.0
5.0,5.0,4.89
5.0,5.0,4.82
4.8,4.89,4.97
4.91,5.0,5.0
4.92,5.0,4.83
5.0,5.0,5.0
4.95,5.0,4.82
4.73,4.83,4.91
2.0,4.0,4.91
4.86,4.93,4.81
5.0,5.0,5.0
4.7,4.82,4.92
4.71,4.83,4.95
4.75,4.86,5.0
4.7,4.82,4.98
0.0,4.0,4.83
4.68,4.81,4.78
4.76,4.86,4.8
4.83,4.91,4.87
4.77,4.86,4.89
5.0,5.0,4.97
4.56,4.72,4.93
4.6,4.75,4.71
4.82,4.9,5.0
4.0,4.5,5.0
4.0,4.5,4.86
5.0,5.0,4.57
4.59,4.74,4.88
4.81,4.89,5.0
4.5,4.69,5.0
4.82,4.9,4.91
5.0,5.0,4.8
4.94,5.0,4.71
4.81,4.89,4.75
4.62,4.75,4.76
4.7,4.82,5.0
4.81,4.89,4.95
4.71,4.83,4.77
4.83,4.91,4.93
4.5,4.69,4.0
4.84,4.92,5.0
4.93,5.0,4.9
4.84,4.92,4.95
4.81,4.89,4.86
4.67,4.8,4.94
5.0,5.0,4.6
4.75,4.86,4.75
4.94,5.0,4.94
4.67,4.8,4.85
5.0,5.0,4.82
4.83,4.91,5.0
4.86,4.93,4.71
4.5,4.69,5.0
4.59,4.74,4.92
4.83,4.91,5.0
5.0,5.0,4.93
4.71,4.83,4.76
4.94,5.0,5.0
5.0,5.0,4.97
4.87,4.94,4.95
4.6,4.75,5.0
4.33,4.58,4.76
4.89,4.96,4.97
4.81,4.89,4.7
4.89,4.96,4.83
4.78,4.87,4.97
5.0,5.0,4.7
4.97,5.0,5.0
5.0,5.0,5.0
4.82,4.9,4.79
4.79,4.88,4.42
